area,dwell,nBedrms,nLodged,nClosed,nCurr,mean,lq,med,uq,sd,brr,lmean,lsd,slq,suq
Birkenhead West,House,5+,6,0,15,1761,1038,1073,1796,1426,2.18,7.2829,0.6583,933,2269
Birkenhead West,House,NA,27,9,33,782,660,795,850,207,3.9,6.629,0.2646,633,905
Chatswood,Apartment,2,6,0,6,673,665,680,685,21,3.24,6.5119,0.0311,659,687
Chatswood,House,3,12,12,39,803,775,793,800,73,4,6.6843,0.0847,755,847
Chatswood,House,4,18,15,57,846,815,870,910,146,3.93,6.7229,0.2107,721,958
Chatswood,House,5,6,0,6,733,570,700,863,249,4.02,6.553,0.3408,557,883
Chatswood,House,NA,6,6,12,837,825,900,990,217,4.23,6.6952,0.3132,655,999
Glen Eden West,House,1,12,3,12,603,515,553,606,186,4.21,6.3674,0.2639,488,696
Glen Eden West,House,2,18,30,72,555,544,583,600,101,4,6.2897,0.295,442,658
Glen Eden West,House,3,48,51,183,675,610,633,679,295,3.72,6.4551,0.3677,496,815
Glen Eden West,House,4,9,21,57,745,650,680,900,132,3.92,6.6,0.1735,654,826
Glen Eden West,House,NA,57,18,72,593,568,595,650,118,3.96,6.3496,0.3181,462,709
Glendene North,Flat,1,6,6,6,483,425,428,485,112,3.56,6.1612,0.2106,411,546
Glendene North,Flat,2,9,9,33,508,490,510,520,44,3.85,6.2274,0.0866,478,537
Glendene North,House,1,9,3,9,618,600,615,650,51,4.1,6.424,0.0835,583,652
Glendene North,House,2,18,24,60,542,500,550,580,48,3.76,6.2908,0.0913,507,574
Glendene North,House,3,51,54,204,639,600,640,678,75,3.87,6.4534,0.1196,586,688
Glendene North,House,4,9,15,51,712,700,750,830,256,4.02,6.4346,0.6922,391,994
Glendene North,House,NA,21,9,33,685,570,650,750,148,3.77,6.5082,0.2069,583,771
Glendene South,Flat,2,6,3,18,570,551,570,596,29,3.69,6.3445,0.0514,550,589
Glendene South,House,1,6,3,9,413,323,455,545,238,4,5.8007,0.8896,181,602
Glendene South,House,3,24,27,102,645,620,650,690,46,3.87,6.467,0.0738,612,676
Glendene South,House,NA,15,3,30,614,581,650,670,103,3.97,6.4039,0.1955,530,689
Hauraki,Apartment,2,6,3,15,619,606,618,630,33,4,6.4267,0.0529,596,641
Hauraki,Flat,2,6,0,51,656,598,640,663,97,3.57,6.478,0.136,594,713
Hauraki,House,1,6,0,9,739,625,763,844,122,4,6.5937,0.1695,652,819
Hauraki,House,2,27,24,87,672,615,650,695,127,3.87,6.4971,0.159,596,738
Hauraki,House,3,45,36,114,827,750,840,890,184,3.82,6.6874,0.2722,668,964
Hauraki,House,4,24,27,78,1044,856,1048,1200,228,3.84,6.9278,0.2202,879,1184
Hauraki,House,NA,51,6,60,907,680,680,1100,383,4,6.7423,0.3513,669,1074
Henderson Central,Apartment,1,12,9,21,476,438,470,520,44,4,6.162,0.0926,446,505
Henderson Central,Apartment,2,12,6,18,549,513,553,580,52,3.58,6.3032,0.0951,512,583
Henderson Central,Flat,2,6,0,9,539,515,533,556,39,4.02,6.2873,0.0712,512,564
Henderson Central,House,1,6,6,12,552,468,573,600,111,4,6.2958,0.2005,474,621
Henderson Central,House,2,12,6,24,415,325,500,538,194,3.88,5.8441,0.7394,210,568
Henderson Central,House,3,9,9,24,656,541,658,700,127,3.62,6.4691,0.1885,568,732
Henderson Central,House,NA,42,6,39,525,483,550,610,134,3.99,6.2015,0.4301,369,660
Henderson East,Apartment,2,6,3,12,525,505,520,543,30,4,6.262,0.057,504,545
Henderson East,Flat,2,12,6,21,447,458,525,543,170,4,5.9543,0.6881,242,613
Henderson East,House,1,15,0,24,558,560,595,660,164,3.99,6.2532,0.4517,383,705
Henderson East,House,2,33,36,69,568,535,580,608,123,3.96,6.3111,0.2798,456,665
Henderson East,House,3,36,33,117,654,630,650,670,57,3.84,6.4793,0.0839,616,689
Henderson East,House,4,6,6,24,725,675,765,788,90,4,6.5793,0.1304,659,786
Henderson East,House,5+,6,3,9,864,694,755,925,341,3.21,6.7098,0.3587,644,1045
Henderson East,House,NA,75,15,90,608,580,620,690,133,3.92,6.358,0.4036,440,758
Henderson Lincoln South,Flat,2,9,3,21,502,498,510,555,100,4.34,6.1979,0.2337,420,576
Henderson Lincoln South,House,1,6,0,9,558,513,560,615,164,4,6.284,0.3264,430,668
Henderson Lincoln South,House,2,9,9,27,604,560,600,625,75,3.58,6.3978,0.1201,554,651
Henderson Lincoln South,House,3,33,33,147,622,600,645,673,98,3.9,6.4115,0.2481,515,720
Henderson Lincoln South,House,4,9,3,57,796,730,800,835,100,3.74,6.6722,0.1275,725,861
Henderson Lincoln South,House,NA,12,6,27,615,585,650,710,169,3.91,6.3582,0.4377,430,775
Henderson North,Flat,2,6,3,21,541,495,533,579,64,4,6.2887,0.1168,498,583
Henderson North,House,1,15,3,24,402,175,440,525,222,3.92,5.7981,0.7177,203,535
Henderson North,House,2,18,21,60,548,543,575,598,124,3.94,6.2467,0.4491,381,699
Henderson North,House,3,36,51,189,642,600,650,688,65,3.94,6.4592,0.11,593,688
Henderson North,House,4,18,18,63,718,680,708,750,75,3.79,6.5715,0.1033,666,766
Henderson North,House,NA,48,12,72,510,475,570,650,232,4.04,6.0421,0.7371,256,692
Henderson North East,Apartment,2,9,3,6,261,89,150,379,244,3.99,5.2076,0.8859,100,332
Henderson North East,Flat,2,6,0,30,529,494,543,558,66,4,6.2646,0.1282,482,573
Henderson North East,House,1,15,0,24,463,386,450,595,256,3.82,5.9173,0.7802,219,629
Henderson North East,House,2,36,21,63,577,530,595,640,106,4.1,6.3262,0.3115,453,690
Henderson North East,House,3,30,33,96,667,626,675,694,60,3.81,6.4989,0.0898,625,706
Henderson North East,House,4,15,12,30,690,675,700,770,170,4,6.4833,0.4049,498,860
Henderson North East,House,NA,36,6,57,578,585,630,660,169,4.04,6.2584,0.5807,353,773
Henderson Valley Park,House,1,6,0,3,693,655,715,753,83,4,6.5346,0.1247,633,749
Henderson Valley Park,House,2,9,9,27,509,520,540,550,112,3.9,6.1999,0.3064,401,606
Henderson Valley Park,House,3,15,18,69,614,593,650,680,137,3.9,6.3747,0.3708,457,754
Henderson Valley Park,House,4,6,3,24,758,680,760,838,121,4,6.6203,0.1615,673,837
Henderson Valley Park,House,NA,9,0,9,650,595,670,685,67,4.02,6.4724,0.1029,604,694
Herne Bay,Apartment,1,30,24,66,557,495,568,615,143,3.36,6.263,0.4414,390,707
Herne Bay,Apartment,2,24,21,72,738,624,723,784,155,3.57,6.5839,0.1991,632,827
Herne Bay,Flat,1,12,9,51,517,456,485,590,93,3.44,6.2342,0.1717,454,572
Herne Bay,Flat,2,12,6,36,675,593,635,745,175,4,6.4827,0.2645,547,781
Herne Bay,House,2,15,12,30,805,740,770,900,124,3.62,6.6798,0.1554,717,884
Herne Bay,House,3,15,15,51,1184,895,1000,1400,340,3.84,7.0406,0.2773,947,1377
Herne Bay,House,4,9,9,27,1621,1400,1400,1850,497,3.55,7.3512,0.3063,1267,1916
Herne Bay,House,NA,12,6,12,1906,1850,1850,1900,676,4.6,7.5034,0.3265,1456,2261
Hillcrest East (Auckland),Apartment,2,9,3,12,586,560,620,620,48,4.13,6.371,0.0853,552,619
Hillcrest East (Auckland),Flat,2,9,6,45,506,520,560,580,161,4.11,6.1186,0.6186,299,689
Hillcrest East (Auckland),House,1,15,0,12,677,550,700,770,140,3.74,6.4984,0.2078,577,764
Hillcrest East (Auckland),House,2,21,21,48,591,553,605,624,62,3.77,6.3758,0.1129,544,634
Hillcrest East (Auckland),House,3,42,36,126,717,680,718,770,100,3.87,6.5638,0.1583,637,789
Hillcrest East (Auckland),House,4,15,9,60,877,780,850,900,137,3.92,6.7659,0.1483,785,959
Hillcrest East (Auckland),House,NA,27,15,33,756,620,790,850,140,3.97,6.6094,0.2012,648,850
Hillcrest North (Auckland),Apartment,3,6,3,6,655,651,675,679,50,4,6.4823,0.0802,619,690
Hillcrest North (Auckland),Flat,1,9,3,21,559,425,500,660,221,4,6.2638,0.3786,407,678
Hillcrest North (Auckland),Flat,2,6,6,51,599,534,580,623,101,3.89,6.3837,0.1591,532,659
Hillcrest North (Auckland),House,2,33,24,69,580,550,580,605,61,3.89,6.3581,0.1082,537,621
Hillcrest North (Auckland),House,3,27,21,96,746,686,735,798,94,3.82,6.6078,0.125,681,806
Hillcrest North (Auckland),House,4,15,18,45,873,830,860,933,110,3.87,6.7643,0.1335,792,948
Hillcrest North (Auckland),House,NA,21,15,30,800,650,780,820,255,3.94,6.6467,0.2669,643,922
Hillcrest West (Auckland),Flat,2,6,9,30,629,574,620,648,74,3.73,6.4389,0.1134,580,675
Hillcrest West (Auckland),House,1,9,3,12,526,500,580,600,111,3.56,6.2417,0.2344,439,602
Hillcrest West (Auckland),House,2,12,21,42,594,585,630,643,105,3.59,6.3675,0.2249,501,678
Hillcrest West (Auckland),House,3,27,24,93,824,720,750,785,424,3.51,6.6596,0.2744,648,939
Hillcrest West (Auckland),House,4,18,15,45,803,776,813,895,242,3.85,6.6208,0.4316,561,1004
Hillcrest West (Auckland),House,NA,12,6,24,793,680,720,919,182,3.92,6.6515,0.2278,664,902
McLaren Park,House,1,9,3,15,571,473,590,675,147,4.02,6.3145,0.2789,458,667
McLaren Park,House,2,6,3,21,419,100,545,595,275,4.08,5.719,0.958,160,581
McLaren Park,House,3,54,33,192,604,594,620,663,131,3.91,6.3484,0.4183,431,758
McLaren Park,House,4,6,6,33,660,650,695,795,194,3.74,6.4249,0.4538,454,838
McLaren Park,House,NA,27,6,51,677,530,620,650,644,3.36,6.2545,0.7655,310,872
Milford Central,Apartment,2,6,0,18,763,668,715,810,159,3.67,6.6214,0.1975,657,858
Milford Central,Flat,2,18,6,42,715,591,653,805,183,3.9,6.5456,0.2308,596,813
Milford Central,House,1,6,0,3,853,585,720,988,387,4,6.6788,0.4181,600,1054
Milford Central,House,2,12,15,36,901,640,750,1100,378,3.86,6.7292,0.3956,641,1092
Milford Central,House,3,15,18,36,1016,825,930,1120,275,3.45,6.8933,0.2476,834,1165
Milford Central,House,4,6,9,12,1400,1125,1475,1750,422,4,7.2068,0.323,1085,1677
Milford Central,House,NA,6,0,12,1415,853,1063,1625,1017,3.89,7.0865,0.6459,773,1849
Milford West,Flat,2,9,18,72,653,590,650,735,82,3.92,6.4746,0.126,596,706
Milford West,Flat,3,6,3,6,729,649,713,793,126,4,6.5803,0.1707,642,809
Milford West,House,1,9,0,9,647,550,600,710,170,3.83,6.4415,0.2612,526,748
Milford West,House,2,33,33,78,646,586,610,698,82,3.77,6.4631,0.1227,590,696
Milford West,House,3,24,27,99,745,690,770,814,130,3.84,6.5941,0.2198,630,848
Milford West,House,4,24,12,60,1062,860,945,999,689,2.93,6.8505,0.481,683,1306
Milford West,House,NA,15,9,30,893,695,850,1000,259,4,6.7578,0.2783,713,1038
Northcote Central (Auckland),Apartment,1,12,15,15,604,540,580,615,102,3.85,6.3918,0.1591,536,665
Northcote Central (Auckland),Apartment,2,15,27,36,639,625,640,650,22,3.86,6.4594,0.0338,624,653
Northcote Central (Auckland),House,1,15,6,18,572,520,625,650,135,4.14,6.3153,0.2869,456,671
Northcote Central (Auckland),House,2,6,6,24,578,534,570,595,70,3.85,6.3528,0.1175,530,621
Northcote Central (Auckland),House,3,33,30,87,759,660,695,770,337,3.4,6.5758,0.3187,579,890
Northcote Central (Auckland),House,4,15,12,36,848,778,850,920,156,3.92,6.7256,0.1947,731,950
Northcote Central (Auckland),House,5+,6,6,6,940,925,955,970,64,3.77,6.8441,0.0695,895,983
Northcote Central (Auckland),House,NA,51,6,66,658,608,635,660,167,3.92,6.4667,0.2014,562,737
Northcote Central (Auckland),Room,1,6,6,18,228,228,230,230,5,3,5.427,0.0222,224,231
Northcote Point (Auckland),Apartment,2,6,6,12,594,563,608,619,40,3.66,6.3852,0.0688,566,621
Northcote Point (Auckland),Flat,2,6,6,30,540,533,565,573,61,4,6.2865,0.119,496,582
Northcote Point (Auckland),House,1,6,3,3,844,754,823,913,195,4.5,6.7181,0.2293,709,966
Northcote Point (Auckland),House,2,15,15,48,661,550,610,698,169,3.51,6.4703,0.2145,559,746
Northcote Point (Auckland),House,3,21,18,63,778,698,820,890,199,3.4,6.5844,0.4988,517,1013
Northcote Point (Auckland),House,4,9,9,27,1070,900,1000,1200,208,3.76,6.9591,0.1903,926,1197
Northcote Point (Auckland),House,NA,12,3,18,987,826,915,1100,229,4,6.8733,0.2114,838,1114
Northcote South (Auckland),Flat,1,6,0,6,634,595,693,731,160,4,6.4225,0.2924,505,750
Northcote South (Auckland),Flat,2,12,6,42,592,565,583,603,45,3.57,6.3811,0.0742,562,621
Northcote South (Auckland),House,1,6,9,6,488,453,495,508,87,3.87,6.1755,0.178,426,542
Northcote South (Auckland),House,2,6,15,33,533,523,593,650,203,4.47,6.0974,0.8443,252,786
Northcote South (Auckland),House,3,21,18,69,766,728,770,795,110,3.91,6.6308,0.1549,683,842
Northcote South (Auckland),House,4,9,12,42,897,860,900,948,87,4,6.7948,0.102,834,957
Northcote South (Auckland),House,5+,6,3,15,526,181,493,838,407,3.54,5.9743,0.9227,211,733
Northcote South (Auckland),House,NA,6,9,12,711,600,650,850,146,4.14,6.549,0.207,608,803
Northcote Tuff Crater,Flat,2,6,6,27,559,529,555,585,37,3.76,6.3241,0.0662,533,583
Northcote Tuff Crater,House,2,12,15,27,676,574,625,679,205,3.6,6.4869,0.2335,561,768
Northcote Tuff Crater,House,3,15,18,60,597,545,680,755,242,3.58,6.2579,0.6174,344,792
Northcote Tuff Crater,House,4,15,9,33,900,835,958,1025,320,4.23,6.4779,1.393,254,1665
Northcote Tuff Crater,House,NA,12,0,18,894,725,850,988,229,4,6.7668,0.2493,734,1028
Point Chevalier East,Apartment,1,9,9,9,530,480,510,600,75,3.29,6.2643,0.1453,476,580
Point Chevalier East,Flat,1,18,9,21,548,484,520,541,203,3.8,6.2653,0.2702,438,631
Point Chevalier East,House,1,12,6,12,794,743,843,900,180,4.15,6.6491,0.2599,648,920
Point Chevalier East,House,2,27,21,54,751,650,730,750,204,3.79,6.5975,0.2041,639,841
Point Chevalier East,House,3,45,51,123,856,755,850,938,135,3.83,6.74,0.1587,760,941
Point Chevalier East,House,4,30,21,42,1075,950,1100,1200,313,3.84,6.926,0.3705,793,1308
Point Chevalier East,House,NA,27,12,24,749,623,750,900,183,3.81,6.5875,0.2657,607,868
Point Chevalier East,Room,1,6,3,9,336,330,335,343,11,4,5.8174,0.0315,329,343
Point Chevalier West,Flat,1,6,6,18,433,400,428,441,56,3.61,6.0626,0.1242,395,467
Point Chevalier West,Flat,2,9,3,21,596,595,625,733,240,3.7,6.2262,0.7718,301,851
Point Chevalier West,House,1,6,3,12,619,419,598,864,320,3.38,6.2755,0.6375,346,817
Point Chevalier West,House,2,12,9,42,677,590,675,750,98,3.34,6.5082,0.1448,608,739
Point Chevalier West,House,3,27,24,90,847,750,840,950,126,3.61,6.7315,0.1453,760,925
Point Chevalier West,House,4,12,9,30,1156,1000,1198,1213,237,3.82,7.0333,0.2089,985,1305
Point Chevalier West,House,NA,9,3,12,909,690,945,1100,200,3.35,6.7904,0.2269,763,1036
Ranui South East,House,1,6,0,6,614,424,513,793,252,3.57,6.3546,0.3893,442,748
Ranui South East,House,3,21,21,99,646,623,650,678,56,3.91,6.4675,0.0893,606,684
Ranui South East,House,4,12,6,45,684,746,760,770,286,3.78,6.3897,0.6431,386,919
Ranui South East,House,NA,27,9,39,789,680,750,875,163,4,6.6505,0.2056,673,888
Summerland North,House,2,6,0,9,636,601,633,668,90,3.76,6.448,0.1421,574,695
Summerland North,House,3,12,15,87,733,720,730,745,26,3.8,6.5966,0.0355,715,750
Summerland North,House,4,15,9,45,818,795,820,850,53,4,6.7054,0.0676,780,855
Summerland North,House,NA,9,3,15,817,750,800,815,108,4,6.6992,0.1209,748,881
Summerland South,House,3,9,6,30,700,650,683,735,68,3.75,6.5463,0.0937,654,742
Summerland South,House,4,12,9,69,757,753,815,845,179,3.95,6.5865,0.3532,572,920
Summerland South,House,NA,12,6,21,809,720,800,870,94,3.9,6.6902,0.1121,746,868
Sunnyvale East,Apartment,2,6,3,3,545,525,568,588,66,4,6.2948,0.1283,497,591
Sunnyvale East,House,1,15,6,27,511,430,510,600,165,3.56,6.1704,0.415,362,633
Sunnyvale East,House,2,39,27,102,563,550,570,600,101,3.96,6.3001,0.3233,438,677
Sunnyvale East,House,3,48,39,201,606,600,630,675,151,3.93,6.3321,0.4984,402,787
Sunnyvale East,House,4,18,9,84,625,540,750,780,248,3.9,6.3175,0.5702,377,814
Sunnyvale East,House,5,6,0,6,785,680,730,835,151,4,6.6528,0.1819,685,876
Sunnyvale East,House,NA,39,12,66,579,525,595,700,215,4,6.2392,0.5984,342,767
Sunnyvale West-Parrs Park,House,1,9,3,12,289,90,162,570,263,4,5.2904,0.909,107,366
Sunnyvale West-Parrs Park,House,2,12,9,15,544,513,543,550,37,3.9,6.296,0.0673,518,568
Sunnyvale West-Parrs Park,House,3,39,42,132,597,590,650,670,152,3.9,6.3297,0.4227,422,746
Sunnyvale West-Parrs Park,House,4,6,6,18,698,688,695,705,17,4,6.5473,0.0244,686,709
Sunnyvale West-Parrs Park,House,NA,12,3,24,611,615,650,675,154,4.04,6.3575,0.4252,433,768
Takapuna Central,Apartment,1,30,30,87,607,484,545,595,377,3.42,6.3319,0.3202,453,698
Takapuna Central,Apartment,2,33,21,90,962,740,900,990,579,3.44,6.7914,0.3357,710,1116
Takapuna Central,Apartment,3,6,3,18,1027,987,1017,1058,74,4,6.9327,0.0712,977,1076
Takapuna Central,Flat,2,6,6,24,646,611,640,675,80,3.71,6.4654,0.1237,591,698
Takapuna Central,House,1,6,6,21,829,623,775,976,322,4,6.6582,0.3872,600,1012
Takapuna Central,House,2,12,15,39,757,643,660,868,175,3.6,6.6079,0.2132,642,856
Takapuna Central,House,3,6,6,24,1049,950,1025,1100,206,3.7,6.9403,0.1913,908,1175
Takapuna Central,House,4,9,6,33,1259,1175,1200,1325,201,3.83,7.1261,0.1609,1116,1387
Takapuna Central,House,NA,18,9,24,1137,590,1100,1350,835,3.5,6.8581,0.5879,640,1415
Takapuna South,Flat,2,9,3,21,714,603,650,783,151,4,6.5528,0.1981,614,801
Takapuna South,House,1,6,0,3,794,730,810,874,142,4.48,6.6641,0.1868,691,889
Takapuna South,House,2,12,9,21,620,595,625,646,172,3.27,6.379,0.375,458,759
Takapuna South,House,3,12,12,18,1361,956,1200,1650,509,4.21,7.1552,0.3648,1001,1638
Takapuna South,House,4,6,9,21,2074,1213,1295,2163,1653,2.86,7.4141,0.668,1057,2604
Takapuna West,Apartment,1,21,12,36,599,565,610,630,53,3.83,6.3916,0.0905,561,634
Takapuna West,Apartment,2,54,39,105,712,628,680,793,112,3.82,6.5566,0.1546,634,781
Takapuna West,Apartment,3,12,3,21,892,735,913,1000,179,3.71,6.7739,0.208,760,1006
Takapuna West,Apartment,NA,6,0,6,712,628,650,650,218,4,6.5363,0.2587,579,821
Takapuna West,Flat,1,9,6,15,592,408,500,660,300,3.49,6.2915,0.4474,399,730
Takapuna West,Flat,2,36,21,111,635,595,650,680,137,4.03,6.174,1.8256,140,1645
Takapuna West,House,1,12,6,21,683,555,595,638,288,3.75,6.4491,0.4092,480,833
Takapuna West,House,2,39,45,123,671,600,650,670,144,3.71,6.492,0.1729,587,741
Takapuna West,House,3,42,42,156,793,730,800,870,156,3.92,6.6521,0.2398,659,910
Takapuna West,House,4,18,21,75,1007,963,1000,1150,171,3.39,6.8992,0.1845,875,1123
Takapuna West,House,5+,6,6,21,983,888,940,1035,155,3.75,6.8813,0.151,880,1078
Takapuna West,House,NA,57,18,63,833,590,750,1000,283,4.05,6.6735,0.3198,638,982
Takapuna West,Room,1,6,9,15,629,618,630,641,39,4,6.4423,0.0621,602,655
Te Atatu Peninsula East,House,1,6,3,6,659,625,658,691,90,4.5,6.4833,0.1378,596,718
Te Atatu Peninsula East,House,3,15,18,78,724,650,720,770,112,3.71,6.5741,0.1496,648,792
Te Atatu Peninsula East,House,5+,6,3,21,1075,988,1050,1138,132,4.44,6.9745,0.1206,986,1160
Te Atatu Peninsula East,House,NA,9,9,12,707,583,610,823,186,4,6.5326,0.2465,582,811
Te Atatu South-Central,Flat,2,9,9,36,540,520,530,555,117,3.51,6.2708,0.2233,455,615
Te Atatu South-Central,House,1,24,0,36,537,484,538,565,87,4.08,6.2745,0.1534,479,589
Te Atatu South-Central,House,2,27,21,81,586,550,590,610,109,3.66,6.3536,0.2171,496,665
Te Atatu South-Central,House,3,45,39,180,658,640,680,700,126,3.73,6.4581,0.3093,518,786
Te Atatu South-Central,House,4,21,15,78,710,705,750,838,201,3.71,6.4962,0.4474,490,896
Te Atatu South-Central,House,NA,33,15,72,654,589,650,728,190,3.99,6.4108,0.4653,445,833
Te Atatu South-Edmonton,House,1,12,3,15,544,513,570,645,181,4,6.1892,0.6117,323,736
Te Atatu South-Edmonton,House,2,27,24,99,558,540,560,578,46,3.69,6.3217,0.082,527,588
Te Atatu South-Edmonton,House,3,63,51,228,643,625,650,680,100,3.93,6.4398,0.2866,516,760
Te Atatu South-Edmonton,House,4,15,15,51,793,730,780,830,107,3.79,6.6674,0.1344,718,861
Te Atatu South-Edmonton,House,NA,27,24,48,648,550,695,720,112,3.97,6.4585,0.1896,562,725
Te Atatu South-McLeod North,Apartment,2,9,0,15,554,550,570,580,49,3.7,6.3128,0.0943,518,588
Te Atatu South-McLeod North,Flat,2,6,9,24,538,525,538,550,14,4,6.2867,0.0269,528,547
Te Atatu South-McLeod North,House,1,15,0,15,566,545,580,590,81,4,6.3287,0.1533,505,621
Te Atatu South-McLeod North,House,2,24,24,90,583,528,578,596,84,3.92,6.3594,0.1301,529,631
Te Atatu South-McLeod North,House,3,42,45,171,640,600,650,660,57,3.9,6.4585,0.0864,602,676
Te Atatu South-McLeod North,House,4,6,21,51,754,718,750,793,82,3.87,6.62,0.1077,697,806
Te Atatu South-McLeod North,House,NA,93,15,111,622,555,585,650,97,4.01,6.4219,0.141,559,677
Te Atatu South-McLeod South,House,1,9,3,12,641,563,650,815,293,4,6.2752,0.8151,307,921
Te Atatu South-McLeod South,House,2,27,21,48,599,530,580,650,108,3.9,6.3815,0.1644,529,660
Te Atatu South-McLeod South,House,3,36,30,117,664,643,650,689,65,3.8,6.4941,0.0897,622,702
Te Atatu South-McLeod South,House,4,18,21,60,923,703,796,850,625,3.32,6.7312,0.3708,653,1076
Te Atatu South-McLeod South,House,NA,39,12,51,655,585,640,700,196,4,6.4137,0.4558,449,830
Waiatarua,Flat,1,6,3,6,351,341,390,400,85,3.45,5.8348,0.2802,283,413
Waitakere Ranges South,House,1,6,3,15,419,338,400,481,121,3.61,6.0063,0.2859,335,492
Waitakere Ranges South,House,2,6,0,15,526,521,535,540,21,4,6.2651,0.0413,511,541
Waitakere Ranges South,House,3,6,3,15,674,600,723,796,165,3.18,6.4873,0.2699,547,788
Western Heights (Auckland),Flat,2,6,3,12,561,498,523,570,104,4.01,6.3162,0.1648,495,619
Western Heights (Auckland),House,1,6,0,3,694,650,740,784,136,4.56,6.5258,0.2149,590,789
Western Heights (Auckland),House,2,9,9,12,669,600,620,650,151,3.9,6.4852,0.2086,569,754
Western Heights (Auckland),House,3,21,15,78,816,635,665,740,554,3.31,6.6091,0.362,581,947
Western Heights (Auckland),House,4,18,12,60,773,738,818,850,136,4,6.6311,0.2192,654,879
Western Heights (Auckland),House,5+,6,6,18,940,935,955,990,74,3.5,6.8431,0.0828,886,991
Western Heights (Auckland),House,NA,15,6,30,746,680,775,800,156,4.08,6.5919,0.2272,626,850
Westlake,Apartment,2,9,15,15,612,583,620,625,43,4,6.4149,0.0691,583,640
Westlake,Flat,2,15,6,48,620,600,618,650,78,3.75,6.422,0.1312,563,672
Westlake,House,1,6,9,9,607,563,695,700,178,4,6.3579,0.3766,448,744
Westlake,House,2,24,27,75,670,645,655,681,79,3.69,6.5003,0.1138,616,718
Westlake,House,3,45,27,105,785,730,790,850,160,3.9,6.6401,0.2439,649,902
Westlake,House,4,15,21,45,929,900,950,980,86,4.09,6.8294,0.1003,864,989
Westlake,House,5,9,3,6,373,210,240,250,387,3.48,5.6635,0.654,185,448
Westlake,House,5+,6,3,15,1005,950,1100,1155,242,4,6.8864,0.2771,812,1180
Westlake,House,NA,15,12,24,832,750,840,888,167,3.92,6.7049,0.2042,711,937
Westlake,Room,1,9,6,12,205,200,200,200,15,3.81,5.3186,0.0673,195,214
Westmere North,House,2,6,6,12,1004,781,1098,1249,310,3.98,6.8658,0.3453,760,1210
Westmere North,House,3,18,15,54,1066,895,1000,1195,242,3.42,6.9508,0.2049,909,1199
Westmere North,House,4,6,9,21,1463,1007,1200,1650,696,3.74,7.2093,0.404,1029,1775
Anzac Avenue,Apartment,1,264,156,483,466,404,460,520,82,3.94,6.1278,0.1935,402,522
Anzac Avenue,Apartment,2,171,108,345,605,538,595,680,140,3.92,6.3751,0.2596,493,699
Anzac Avenue,Apartment,3,9,9,15,976,809,875,1043,280,3.85,6.8532,0.2599,795,1128
Anzac Avenue,Apartment,4,6,3,9,535,258,258,837,432,4,6.0315,0.7451,252,688
Anzac Avenue,Apartment,5,15,9,12,316,310,310,310,31,1.24,5.7525,0.0854,297,334
Anzac Avenue,Apartment,NA,18,33,18,575,450,550,641,186,3.99,6.31,0.3045,448,675
Anzac Avenue,Boarding House,NA,6,0,6,245,198,220,230,90,2.23,5.4581,0.2905,193,285
Anzac Avenue,Flat,1,12,0,30,478,375,400,533,167,3.98,6.1258,0.2951,375,558
Anzac Avenue,Flat,2,12,3,21,617,538,615,648,111,4,6.4102,0.1734,541,683
Anzac Avenue,House,1,51,18,60,510,410,500,570,149,4.01,6.2005,0.2576,414,587
Anzac Avenue,House,2,9,33,15,685,550,650,918,268,4,6.3942,0.6739,380,943
Anzac Avenue,House,NA,138,39,141,525,428,523,565,133,4.07,6.226,0.294,415,617
Anzac Avenue,Room,1,9,21,15,290,250,250,325,83,2.77,5.6374,0.2595,236,334
Anzac Avenue,Room,NA,9,3,3,357,315,350,420,72,2.45,5.8595,0.2129,304,405
Auckland-University,Apartment,1,30,24,57,455,390,420,515,149,3.82,6.0427,0.4675,307,577
Avondale Central (Auckland),Apartment,1,6,3,12,557,504,533,550,94,4,6.3116,0.1531,497,611
Avondale Central (Auckland),Apartment,2,15,24,33,582,545,570,648,70,3.6,6.3599,0.1253,531,629
Avondale Central (Auckland),Flat,1,6,3,24,591,375,388,535,465,2.63,6.2036,0.5918,332,737
Avondale Central (Auckland),House,1,15,9,24,511,475,550,595,176,3.85,6.1382,0.5419,321,668
Avondale Central (Auckland),House,2,36,21,87,574,595,600,650,146,3.82,6.2752,0.5013,379,745
Avondale Central (Auckland),House,3,30,30,99,690,630,683,781,102,3.85,6.5234,0.1694,607,763
Avondale Central (Auckland),House,NA,81,15,111,604,550,595,630,118,3.89,6.3816,0.2334,505,692
Avondale Central (Auckland),Room,1,6,3,15,503,473,505,535,46,4.1,6.2165,0.0917,471,533
Avondale Central (Auckland),Room,NA,6,3,9,415,408,418,426,14,2.25,6.0277,0.035,405,425
Avondale North (Auckland),Apartment,2,9,3,21,523,500,530,570,59,3.8,6.2539,0.1221,479,565
Avondale North (Auckland),Flat,1,12,6,36,464,450,455,480,62,3.99,6.1316,0.1361,420,504
Avondale North (Auckland),Flat,2,6,6,30,538,450,515,603,108,4,6.2722,0.1972,464,605
Avondale North (Auckland),Flat,3,6,0,9,670,636,663,696,69,4,6.5034,0.1015,623,715
Avondale North (Auckland),House,1,12,9,15,590,489,625,698,177,3.91,6.3239,0.3862,430,724
Avondale North (Auckland),House,2,30,27,90,685,590,600,655,383,3.51,6.4649,0.3009,524,787
