suburb,total_crimes_2025
Rothesay Bay,29
Orakei South,29
Opanuku,29
Herne Bay,29
Point View,29
Pakuranga North,29
Waiata,28
Army Bay,28
Glenbrook,27
Cockle Bay,27
Oaktree,27
Narrow Neck,27
Silverdale North,26
Turanga,26
Tahekeroa,26
Glendowie,25
Golfland,25
Snells Beach,25
Awaruku,24
Otimai,24
Murrays Bay,24
Unsworth Heights,23
Mellons Bay,23
Orewa West,23
Kohimarama East,22
Awhitu,22
Birdwood West,21
Wymondley,21
Waiake,20
Red Beach West,20
Laingholm,20
Bayswater,19
Kohimarama West,19
Henderson West,19
Castor Bay,19
Witheford,19
Kumeu West,19
Kilkenny,19
South Head,18
Matakana,18
Kawakawa-Orere,18
Campbells Bay,18
Riverhead,18
Swanson South,17
Taupaki,15
Hobsonville South,14
Waitakere,14
Half Moon Bay,14
Kaukapakapa,13
Eden Road-Hill Top,12
Mill Road,12
Muriwai Beach,12
Patumahoe,12
Rewiti,12
Omaha,11
Glamorgan,10
Stanley Bay,10
Vipond,10
Waimauku,10
Whangapouri Creek,9
Crown Hill,9
Bleakhouse,8
Runciman,8
Redoubt East,8
Buckland,8
Mission Heights,8
Muriwai Valley,8
St Lukes North,7
Kaukapakapa Rural,7
Oceanic-Auckland Region West,7
South Waiuku,6
Waitakere West,6
Hatfields Beach,6
Shelly Park,6
Great Barrier Island,6
Algies Bay,5
Waipareira West,5
Tidal-Eastern Bays,5
Herald,5
Silverdale South,5
Oratia West,3
Parakai Rural,3
Paremoremo West,3
Leigh,2
Helensville South,2
Kawau,2
Islands-Motutapu Rangitoto Rakino,1
Paparata,1
Stillwater,1
Inlet-Port Fitzroy,1
Inlet-Hobson Bay,1
Armour Bay,1
