area,total,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06
Glamorgan,11,0,0,2,2,1,0,0,1,1,3,1,0
Glen Eden East,365,30,23,26,36,37,29,39,22,35,23,36,29
Glen Innes East,50,4,7,6,5,3,7,1,4,4,1,1,7
Glen Innes North,58,5,5,2,5,5,7,3,4,4,5,7,6
Glen Innes West,626,51,29,40,56,38,86,49,36,54,65,62,60
Glenavon,270,25,29,28,22,18,28,22,17,22,13,24,22
Glenbrook,27,2,0,2,0,0,5,1,0,5,6,2,4
Glendene North,71,2,6,5,8,13,5,4,3,10,4,6,5
Glendene South,144,9,12,10,14,13,22,20,12,8,7,6,11
Glendhu,43,4,2,1,7,2,1,6,6,4,4,3,3
Glendowie,22,1,3,0,0,2,2,1,2,1,4,3,3
Glenfield Central,643,63,49,48,38,67,62,50,50,38,45,63,70
Glenfield North,192,15,18,20,5,19,17,18,16,19,19,15,11
Golfland,23,0,0,4,3,1,2,1,0,4,4,3,1
Grafton East,261,13,18,22,22,25,31,38,13,18,20,17,24
Grafton West,92,6,5,8,6,5,14,8,3,11,8,12,6
Grange,112,9,4,9,11,8,5,11,18,7,6,15,9
Great Barrier Island,7,0,1,0,2,0,0,1,0,0,1,1,1
Green Bay,282,20,23,22,39,18,16,33,39,29,20,12,11
Greenhithe,54,2,6,8,4,1,4,5,5,7,5,1,6
Greenmount,381,41,44,49,35,27,23,19,26,40,33,28,16
Grey Lynn East,272,20,14,15,11,14,19,29,18,50,39,20,23
Grey Lynn West,69,11,4,3,3,12,6,3,4,4,7,3,9
Gulf Harbour,38,1,3,4,2,7,5,1,7,3,3,1,1
Half Moon Bay,13,0,1,2,1,1,1,1,0,4,2,0,0
Hamlin,259,24,21,25,20,9,16,21,37,20,23,21,22
Harania East,81,4,2,5,11,9,14,3,6,7,5,8,7
Harania North,56,6,5,3,1,2,2,5,5,2,5,14,6
Harania West,396,17,36,13,21,18,26,14,24,16,63,98,50
Hatfields Beach,7,0,0,3,1,0,0,1,0,0,0,0,2
Hauraki,87,12,2,6,4,7,7,8,6,8,13,8,6
Helensville,65,16,3,6,2,3,5,11,1,3,7,2,6
Helensville South,3,0,0,0,0,0,0,1,0,1,1,0,0
Henderson North,798,67,42,42,107,69,55,122,66,72,48,46,62
Henderson South,1879,112,157,193,172,174,148,165,144,159,132,166,157
Henderson West,23,3,2,0,1,0,1,1,3,1,5,0,6
Herald,6,0,0,0,1,0,0,2,0,1,1,1,0
Herne Bay,20,0,4,0,2,3,2,1,2,2,2,0,2
Highbrook,215,25,15,17,18,23,22,17,18,12,17,13,18
Highland Park,192,22,22,16,12,16,17,16,9,16,14,16,16
Hillpark,199,12,12,18,13,14,22,15,28,17,20,13,15
Hillsborough East,544,57,44,55,48,58,57,31,36,37,43,34,44
Hillsborough West,371,37,44,42,26,22,16,22,23,31,27,37,44
Hingaia,259,34,28,15,15,28,20,34,12,30,17,16,10
Hobsonville East,257,41,23,29,32,15,26,11,12,20,11,21,16
Hobsonville South,14,0,1,0,0,6,1,1,1,1,0,0,3
Homai East,191,16,20,19,15,8,15,18,19,11,26,13,11
Homai West,48,6,5,6,4,2,3,3,1,2,0,9,7
Howick Central,166,26,14,13,8,11,10,10,9,16,15,16,18
Howick South,41,3,9,2,1,3,4,2,7,1,4,2,3
Howick West,25,1,1,1,1,6,2,1,1,6,4,0,1
Huapai,182,21,20,19,19,21,15,14,11,11,10,8,13
Hunua,28,4,1,3,4,1,3,0,2,3,3,2,2
Hyperion,33,3,1,0,2,6,4,2,4,2,4,3,2
Inlet-Manukau Harbour,5,0,0,0,1,0,0,1,0,3,0,0,0
Inlet-Waitemata Harbour,3,0,0,0,0,0,0,0,0,1,1,1,0
Kaipatiki,51,2,2,3,3,10,2,4,4,3,7,5,6
Karekare,51,3,5,2,2,3,10,6,10,6,1,3,0
Kaukapakapa,12,1,2,1,1,0,1,0,1,1,3,0,1
Kaukapakapa Rural,11,0,2,0,0,0,0,1,2,3,1,1,1
Kauri Park,197,32,10,10,9,7,23,15,18,33,5,11,24
Kaurilands,38,2,2,3,3,7,4,2,2,1,5,2,5
Kawakawa-Orere,19,1,1,1,1,0,1,2,4,1,3,3,1
Kawau,2,0,0,0,1,0,0,0,0,0,0,0,1
Kelston Central,252,18,15,22,25,18,10,9,19,27,26,41,22
Kilkenny,15,0,1,3,0,1,5,1,0,2,1,0,1
Kingdale,717,67,73,44,63,56,57,61,76,58,56,52,54
Kingseat,265,13,27,19,23,16,25,20,23,51,19,15,14
Kingsland,169,16,12,10,13,18,20,5,16,15,10,19,15
Kohimarama East,22,1,0,2,1,4,1,2,0,3,5,2,1
Kohimarama West,23,2,0,1,0,4,1,2,1,1,7,0,4
Kohuora,132,10,13,7,11,12,19,11,5,8,18,10,8
